# FTRANSFER.CLOCKS.01 frozen data interface (a): g_*rho(T), g_*s(T)
# Source (named in the preregistration): K. Saikawa & S. Shirai,
#   'Primordial gravitational waves, precisely: the role of thermodynamics
#   in the Standard Model', JCAP 05 (2018) 035, arXiv:1803.01038,
#   Appendix A tabulated data, file standardmodel2018.dat,
#   https://member.ipmu.jp/satoshi.shirai/EOS2018 (retrieved 2026-08-05).
# Full source file sha256: 268a51b869198b13aef052185323e0b0015f78f4a0902f19a79e71d1017dfaad
# Curation rule (deterministic): data rows subsampled every 20th row of the
#   10000-row log(T)-spaced source table, plus the final row (501 rows).
#   Values are copied verbatim (no reformatting, no interpolation).
# Columns: T_GeV,gstar_rho,gstar_rho_err,gstar_s,gstar_s_err
141625.86,104.40454,0.53947948,104.40046,0.53124849
157233.41,104.40923,0.52842217,104.40516,0.52041075
174560.95,104.4143,0.5179365,104.41023,0.51013737
193798.03,104.41942,0.50742009,104.41535,0.49982624
215155.1,104.42455,0.49692495,104.42048,0.48952968
238865.76,104.42965,0.48739116,104.42559,0.48018798
265189.41,104.43476,0.47792445,104.43071,0.4709072
294413.99,104.4399,0.46839509,104.43585,0.46155779
326859.2,104.44498,0.45890079,104.44093,0.45223769
362879.96,104.45,0.45027234,104.44596,0.44377792
402870.31,104.45471,0.44140383,104.45068,0.43507278
447267.69,104.45982,0.43290213,104.45579,0.42672936
496557.79,104.46491,0.42441713,104.4609,0.4183977
551279.79,104.47,0.416898,104.46599,0.41102719
612032.29,104.47464,0.40891417,104.47063,0.4031874
679479.89,104.47989,0.40124351,104.4759,0.39565639
754360.39,104.48483,0.39390691,104.48084,0.3884552
837492.93,104.48987,0.38648737,104.48589,0.381167
929786.89,104.49454,0.37944202,104.49057,0.37424903
1032251.9,104.49982,0.37272668,104.49585,0.36765728
1146008.8,104.50433,0.36586695,104.50038,0.3609175
1272302.1,104.50935,0.35943604,104.50541,0.35460298
1412513.1,104.51443,0.35294853,104.5105,0.34822848
1568175.9,104.51926,0.34672367,104.51534,0.34211334
