run,source,family,offsets_from_p,selection_mse,selected
post_outcome_sensitivity,e,nonlinear,"3,4",0.7226683466577944,False
post_outcome_sensitivity,e,nonlinear,"3,5",0.724199665381194,False
post_outcome_sensitivity,e,nonlinear,"3,6",0.722996803390585,False
post_outcome_sensitivity,e,nonlinear,"3,7",0.7236768341650941,False
post_outcome_sensitivity,e,nonlinear,"4,5",0.7243386242972332,False
post_outcome_sensitivity,e,nonlinear,"4,6",0.7226460590066324,False
post_outcome_sensitivity,e,nonlinear,"4,7",0.7231176740799573,False
post_outcome_sensitivity,e,nonlinear,"5,6",0.7243271711497198,False
post_outcome_sensitivity,e,nonlinear,"5,7",0.724982891332983,False
post_outcome_sensitivity,e,nonlinear,"6,7",0.7238432851229326,False
post_outcome_sensitivity,e,nonlinear,"0,1,2",0.7232939806408312,False
post_outcome_sensitivity,e,nonlinear,"1,2,3",0.7220838986316428,False
post_outcome_sensitivity,e,nonlinear,"2,3,4",0.7230554565016317,False
post_outcome_sensitivity,e,nonlinear,"3,4,5",0.7220278372745644,False
post_outcome_sensitivity,e,nonlinear,"4,5,6",0.7232182051181735,False
post_outcome_sensitivity,e,nonlinear,"5,6,7",0.7232635388593154,False
post_outcome_sensitivity,sqrt2,single,none,0.7208107093185632,True
post_outcome_sensitivity,sqrt2,single,0,0.7209724037260433,False
post_outcome_sensitivity,sqrt2,single,1,0.7210625610259254,False
post_outcome_sensitivity,sqrt2,single,2,0.7212161131525079,False
post_outcome_sensitivity,sqrt2,single,3,0.7214379237797177,False
post_outcome_sensitivity,sqrt2,single,4,0.7214383543237428,False
post_outcome_sensitivity,sqrt2,single,5,0.7210153448587139,False
post_outcome_sensitivity,sqrt2,single,6,0.7209412114763988,False
post_outcome_sensitivity,sqrt2,single,7,0.7213247204471314,False
post_outcome_sensitivity,sqrt2,nonlinear,none,0.7208107093185632,True
post_outcome_sensitivity,sqrt2,nonlinear,"0,1",0.7221511727260568,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,2",0.724614764867514,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,3",0.7218035325155061,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,4",0.7221982044950349,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,5",0.7228059703457478,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,6",0.722394692460344,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,7",0.72312825981551,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,2",0.7230806676776983,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,3",0.7238474524921229,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,4",0.7236480923594573,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,5",0.723212312701481,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,6",0.7221462243559282,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,7",0.7247746505619932,False
post_outcome_sensitivity,sqrt2,nonlinear,"2,3",0.7241948561571974,False
post_outcome_sensitivity,sqrt2,nonlinear,"2,4",0.724826033727195,False
post_outcome_sensitivity,sqrt2,nonlinear,"2,5",0.7258835703324258,False
post_outcome_sensitivity,sqrt2,nonlinear,"2,6",0.7227271457772543,False
post_outcome_sensitivity,sqrt2,nonlinear,"2,7",0.7235361219186298,False
post_outcome_sensitivity,sqrt2,nonlinear,"3,4",0.7244562526996438,False
post_outcome_sensitivity,sqrt2,nonlinear,"3,5",0.7242250132741439,False
post_outcome_sensitivity,sqrt2,nonlinear,"3,6",0.7248396996751545,False
post_outcome_sensitivity,sqrt2,nonlinear,"3,7",0.7233419038508223,False
post_outcome_sensitivity,sqrt2,nonlinear,"4,5",0.722002277404126,False
post_outcome_sensitivity,sqrt2,nonlinear,"4,6",0.7227934300591571,False
post_outcome_sensitivity,sqrt2,nonlinear,"4,7",0.7250695695092344,False
post_outcome_sensitivity,sqrt2,nonlinear,"5,6",0.7246859189943846,False
post_outcome_sensitivity,sqrt2,nonlinear,"5,7",0.7235501311979946,False
post_outcome_sensitivity,sqrt2,nonlinear,"6,7",0.7245805019435073,False
post_outcome_sensitivity,sqrt2,nonlinear,"0,1,2",0.7228939789613791,False
post_outcome_sensitivity,sqrt2,nonlinear,"1,2,3",0.7228957266216258,False
post_outcome_sensitivity,sqrt2,nonlinear,"2,3,4",0.7244216171264263,False
post_outcome_sensitivity,sqrt2,nonlinear,"3,4,5",0.7225302429521492,False
post_outcome_sensitivity,sqrt2,nonlinear,"4,5,6",0.7232500984185827,False
post_outcome_sensitivity,sqrt2,nonlinear,"5,6,7",0.7250273028165705,False
post_outcome_sensitivity,planted,single,none,0.7208107093185632,True
post_outcome_sensitivity,planted,single,0,0.7208408996719554,False
post_outcome_sensitivity,planted,single,1,0.720924444017554,False
post_outcome_sensitivity,planted,single,2,0.7214884048748108,False
post_outcome_sensitivity,planted,single,3,0.7214628228580967,False
post_outcome_sensitivity,planted,single,4,0.7213319623560877,False
post_outcome_sensitivity,planted,single,5,0.7212228954397107,False
post_outcome_sensitivity,planted,single,6,0.7212653272974466,False
post_outcome_sensitivity,planted,single,7,0.7211479627923576,False
post_outcome_sensitivity,planted,nonlinear,none,0.7208107093185632,False
post_outcome_sensitivity,planted,nonlinear,"0,1",0.26933536539245984,True
post_outcome_sensitivity,planted,nonlinear,"0,2",0.7234880316781402,False
post_outcome_sensitivity,planted,nonlinear,"0,3",0.722349662064018,False
post_outcome_sensitivity,planted,nonlinear,"0,4",0.7232616592345368,False
post_outcome_sensitivity,planted,nonlinear,"0,5",0.7226101638151914,False
post_outcome_sensitivity,planted,nonlinear,"0,6",0.7225631226281853,False
post_outcome_sensitivity,planted,nonlinear,"0,7",0.7244614036834265,False
post_outcome_sensitivity,planted,nonlinear,"1,2",0.7233919759097617,False
post_outcome_sensitivity,planted,nonlinear,"1,3",0.7237219069864618,False
post_outcome_sensitivity,planted,nonlinear,"1,4",0.7234194275989965,False
post_outcome_sensitivity,planted,nonlinear,"1,5",0.7227136422660367,False
post_outcome_sensitivity,planted,nonlinear,"1,6",0.7229770315165733,False
post_outcome_sensitivity,planted,nonlinear,"1,7",0.7250877117890449,False
post_outcome_sensitivity,planted,nonlinear,"2,3",0.6743364848135445,False
post_outcome_sensitivity,planted,nonlinear,"2,4",0.724698721021836,False
post_outcome_sensitivity,planted,nonlinear,"2,5",0.7238493314438728,False
post_outcome_sensitivity,planted,nonlinear,"2,6",0.7238233755994415,False
post_outcome_sensitivity,planted,nonlinear,"2,7",0.724885566968814,False
post_outcome_sensitivity,planted,nonlinear,"3,4",0.7237608090855371,False
post_outcome_sensitivity,planted,nonlinear,"3,5",0.7237432490157724,False
post_outcome_sensitivity,planted,nonlinear,"3,6",0.722384011406287,False
post_outcome_sensitivity,planted,nonlinear,"3,7",0.7241675242099364,False
post_outcome_sensitivity,planted,nonlinear,"4,5",0.6987755963680248,False
post_outcome_sensitivity,planted,nonlinear,"4,6",0.7256020080803229,False
post_outcome_sensitivity,planted,nonlinear,"4,7",0.7230810756064561,False
post_outcome_sensitivity,planted,nonlinear,"5,6",0.7239146262036265,False
post_outcome_sensitivity,planted,nonlinear,"5,7",0.723770477297674,False
post_outcome_sensitivity,planted,nonlinear,"6,7",0.6867296989889604,False
post_outcome_sensitivity,planted,nonlinear,"0,1,2",0.35914377081267335,False
post_outcome_sensitivity,planted,nonlinear,"1,2,3",0.7025236280331082,False
post_outcome_sensitivity,planted,nonlinear,"2,3,4",0.7020868160094969,False
post_outcome_sensitivity,planted,nonlinear,"3,4,5",0.7122924293873479,False
post_outcome_sensitivity,planted,nonlinear,"4,5,6",0.7117843925314494,False
post_outcome_sensitivity,planted,nonlinear,"5,6,7",0.7066666243576073,False
